DateTime,Open,High,Low,Close,Volume,VAHPercent,VALPercent,POCPercent,Skewness,Kurtosis,PriceToVAHPercent,PriceToVALPercent,PriceToPOCPercent,PriceToHODPercent,PriceToLODPercent,PriceToPrevHODPercent,PriceToPrevLODPercent,DayRangePercent,BarDelta,DeltaToVolumePercent,CumDelta,CumDeltaToHODPercent,CumDeltaToLODPercent
2025-03-04  09:30:00,5819.00,5824.25,5744.00,5797.00,1746661,0.462500,0.030357,0.105357,0.820246,2.958847,-0.002023,0.008481,0.006642,-0.014786,0.009227,-0.033914,-0.017707,1.414141,13539,0.007751,6791,0.000000,-2.006372
2025-03-04  13:30:00,5797.00,5875.75,5768.25,5810.75,968939,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.012449,0.011621,0.000000,9259,0.009556,0,0.000000,0.000000
2025-03-04  18:00:00,5832.00,5838.00,5807.75,5814.00,74718,0.669421,0.165289,0.586777,-0.062247,2.153023,-0.002402,0.000215,-0.001974,-0.004111,0.001076,-0.011897,0.012187,0.216071,362,0.004845,362,0.000000,0.000000
2025-03-04  22:00:00,5814.25,5834.00,5809.00,5826.00,43812,0.702479,0.272727,0.636364,-0.248735,2.479394,-0.000515,0.001719,-0.000172,-0.002055,0.003142,-0.009857,0.014276,0.216071,6,0.000137,368,0.000000,0.016575
2025-03-05  02:00:00,5825.75,5844.25,5817.25,5823.25,89480,0.671233,0.321918,0.472603,0.096612,2.991339,-0.001543,0.000644,-0.000300,-0.003593,0.002669,-0.010325,0.013797,0.260714,4784,0.053464,5152,0.000000,13.232044
2025-03-05  06:00:00,5823.50,5825.50,5779.00,5787.75,189397,0.873563,0.356322,0.670498,-0.339459,1.919540,-0.008268,-0.002499,-0.006011,-0.009668,0.001514,-0.016358,0.007617,0.466071,267,0.001410,5419,0.000000,13.969613
2025-03-05  09:30:00,5788.00,5832.00,5750.75,5812.75,1185899,0.713904,0.283422,0.433155,-0.125829,2.417379,-0.000817,0.006145,0.003712,-0.005390,0.010781,-0.012109,0.011969,0.667857,10687,0.009012,16106,0.000000,43.491713
2025-03-05  13:30:00,5812.75,5869.50,5799.50,5845.25,616856,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000171,0.016433,0.000000,2900,0.004701,0,0.000000,0.000000
2025-03-05  18:00:00,5844.75,5853.50,5838.00,5840.75,28865,0.564516,0.129032,0.387097,0.388846,2.395773,-0.001026,0.000128,-0.000556,-0.002178,0.000471,-0.000599,0.015650,0.165775,-1045,-0.036203,-1045,-0.000000,-0.000000
2025-03-05  22:00:00,5841.00,5850.00,5838.75,5848.25,22998,0.774194,0.322581,0.774194,-0.094431,1.885823,-0.000299,0.000899,-0.000299,-0.000897,0.001756,0.000684,0.016954,0.165775,3036,0.132011,1991,0.000000,-2.905263
2025-03-06  02:00:00,5848.50,5850.00,5779.50,5781.50,115345,0.993243,0.327703,0.952703,-0.099897,1.525889,-0.012216,-0.003834,-0.011709,-0.012300,0.000346,-0.010737,0.005347,0.791444,-355,-0.003078,1636,-0.178302,-2.565550
2025-03-06  06:00:00,5781.50,5797.75,5769.25,5773.75,148728,0.498516,0.014837,0.186944,0.743785,2.059353,-0.006453,0.000563,-0.001945,-0.013624,0.000780,-0.012063,0.003999,0.901070,-1976,-0.013286,-340,-1.170768,-0.674641
2025-03-06  09:30:00,5773.75,5821.25,5729.00,5744.00,1313304,0.726908,0.257028,0.538153,0.219271,2.405863,-0.012974,-0.002951,-0.008972,-0.018707,0.002618,-0.017154,-0.001174,1.331551,7692,0.005857,7352,0.000000,-8.035407
2025-03-06  13:30:00,5744.00,5768.50,5720.00,5758.25,816175,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.016272,0.005106,0.000000,12859,0.015755,0,0.000000,0.000000
2025-03-06  18:00:00,5766.00,5774.50,5756.25,5768.25,40023,0.726027,0.397260,0.616438,-0.066645,3.082983,-0.000217,0.000824,0.000130,-0.001082,0.002085,-0.014564,0.006851,0.146586,-1185,-0.029608,-1185,-0.000000,-0.000000
2025-03-06  22:00:00,5768.25,5769.00,5750.00,5752.00,29115,0.795918,0.438776,0.571429,-0.696226,2.936361,-0.003033,-0.001519,-0.002082,-0.003896,0.000348,-0.017340,0.004015,0.196787,-1127,-0.038709,-2312,0.951055,-0.000000
2025-03-07  02:00:00,5752.00,5773.25,5750.50,5763.50,70478,0.755102,0.387755,0.530612,-0.423230,3.028288,-0.000867,0.000695,0.000087,-0.001905,0.002348,-0.015375,0.006022,0.196787,-1990,-0.028236,-4302,2.630380,-0.000000
2025-03-07  06:00:00,5763.50,5786.50,5721.00,5726.00,227447,0.748092,0.396947,0.625954,-0.560053,2.616077,-0.007626,-0.003654,-0.006248,-0.010455,0.000874,-0.021782,-0.000524,0.526104,4833,0.021249,531,0.000000,-1.123431
2025-03-07  09:30:00,5726.25,5778.00,5673.00,5742.75,1234049,0.854626,0.367841,0.678414,-0.378756,2.049052,-0.004723,0.004900,-0.001261,-0.007561,0.012295,-0.018920,0.002400,0.911647,-9265,-0.007508,-8734,-17.448211,-0.000000
2025-03-07  13:30:00,5743.00,5791.00,5739.25,5773.75,617417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002203,0.017760,0.000000,14605,0.023655,0,0.000000,0.000000
2025-03-09  18:00:00,5753.00,5756.25,5710.50,5752.00,94363,0.633880,0.360656,0.513661,-0.207708,3.706605,0.002178,0.004365,0.003139,-0.000738,0.007267,-0.005962,0.013926,0.403084,-805,-0.008531,-805,-0.000000,-0.000000
2025-03-09  22:00:00,5751.75,5757.75,5741.25,5743.50,27591,0.756614,0.349206,0.497354,-0.044442,2.559169,-0.000479,0.002881,0.001657,-0.002475,0.005779,-0.007431,0.012427,0.416300,-83,-0.003008,-888,0.103106,-0.000000
2025-03-10  02:00:00,5743.75,5754.00,5703.00,5718.50,92269,0.826484,0.328767,0.493151,-0.323939,2.398270,-0.005175,-0.000437,-0.002007,-0.006817,0.002718,-0.011751,0.008020,0.482379,-2245,-0.024331,-3133,2.891925,-0.000000
2025-03-10  06:00:00,5719.00,5725.00,5687.25,5691.25,158410,0.741135,0.127660,0.393617,0.067251,1.795684,-0.008407,-0.000878,-0.004156,-0.011550,0.000703,-0.016461,0.003217,0.621145,-676,-0.004267,-3809,3.731677,-0.000000
2025-03-10  09:30:00,5691.25,5711.25,5626.50,5634.75,1145598,0.521905,0.047619,0.300952,0.583494,2.631582,-0.010579,0.000355,-0.005515,-0.021363,0.001466,-0.026225,-0.006742,1.156388,-20566,-0.017952,-24375,29.279503,-0.000000
2025-03-10  13:30:00,5634.75,5641.00,5571.50,5625.50,880559,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.022969,-0.000178,0.000000,-5141,-0.005838,0,0.000000,0.000000
2025-03-10  18:00:00,5622.00,5625.75,5558.00,5586.50,105566,0.963100,0.365314,0.926199,-0.143451,1.812075,-0.006535,0.000672,-0.006093,-0.006977,0.005128,-0.029743,-0.007109,0.516190,-3696,-0.035011,-3696,-0.000000,-0.000000
2025-03-10  22:00:00,5586.50,5637.50,5584.50,5633.75,58771,0.959119,0.433962,0.789308,-0.414598,2.092787,-0.000089,0.007376,0.002313,-0.000665,0.013629,-0.021536,0.001289,0.605714,-467,-0.007946,-4163,0.126353,-0.000000
2025-03-11  02:00:00,5633.50,5647.00,5615.50,5640.75,93309,0.977528,0.542135,0.921348,-0.745545,2.451444,-0.000753,0.006154,0.000133,-0.001107,0.014888,-0.020320,0.002533,0.678095,4627,0.049588,464,0.000000,-1.111458
2025-03-11  06:00:00,5640.75,5651.75,5607.00,5609.25,163702,0.954667,0.624000,0.874667,-1.126119,3.624131,-0.006773,-0.001291,-0.005452,-0.007520,0.009221,-0.025791,-0.003066,0.714286,-2304,-0.014074,-1840,-4.965517,-0.558011
2025-03-11  09:30:00,5609.00,5635.75,5534.00,5536.25,1188274,0.717622,0.235669,0.560510,0.009445,2.137912,-0.014639,-0.004585,-0.011384,-0.020436,0.000407,-0.038470,-0.016040,0.897143,-3504,-0.002949,-5344,-12.517241,-0.000000
2025-03-11  13:30:00,5536.00,5643.75,5534.75,5587.00,859733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.011457,0.009577,0.000000,813,0.000946,0,0.000000,0.000000
2025-03-11  18:00:00,5580.00,5598.50,5574.25,5593.75,33909,0.835052,0.494845,0.690722,-0.637775,3.031021,-0.000134,0.001343,0.000492,-0.000848,0.003498,-0.010262,0.010797,0.205945,1611,0.047510,1611,0.000000,0.000000
2025-03-11  22:00:00,5593.75,5598.75,5585.00,5597.00,17635,0.846939,0.530612,0.724490,-0.755538,3.534100,0.000357,0.001745,0.000894,-0.000313,0.004081,-0.009687,0.011384,0.208068,355,0.020130,1966,0.000000,0.220360
2025-03-12  02:00:00,5597.00,5616.25,5577.50,5615.50,63574,0.553571,0.154762,0.422619,0.578976,2.386224,0.003216,0.006227,0.004202,-0.000134,0.007400,-0.006414,0.014727,0.356688,554,0.008714,2520,0.000000,0.564246
2025-03-12  06:00:00,5615.50,5675.00,5605.50,5635.50,222138,0.799007,0.312655,0.702233,-0.139662,2.036080,-0.003404,0.005307,-0.001683,-0.006960,0.010988,-0.002875,0.018341,0.855626,7624,0.034321,10144,0.000000,5.296710
2025-03-12  09:30:00,5635.50,5645.00,5550.25,5628.00,984080,0.605210,0.230461,0.519038,-0.096274,2.670157,0.000400,0.008783,0.002315,-0.008282,0.014008,-0.004202,0.016986,1.059448,5288,0.005374,15432,0.000000,8.579143
2025-03-12  13:30:00,5627.75,5633.00,5591.75,5597.25,513125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.013700,0.008468,0.000000,1723,0.003358,0,0.000000,0.000000
2025-03-12  18:00:00,5596.50,5623.00,5595.50,5612.25,31747,0.754545,0.327273,0.400000,-0.125726,2.496485,-0.000712,0.001383,0.001026,-0.001912,0.002993,-0.011057,0.011171,0.220441,529,0.016663,529,0.000000,0.000000
2025-03-12  22:00:00,5612.00,5613.25,5570.75,5577.50,37048,0.990431,0.382775,0.684211,-0.298926,1.825715,-0.008004,-0.002370,-0.005173,-0.008092,0.001212,-0.017181,0.004910,0.418838,-882,-0.023807,-353,-1.667297,-0.000000
2025-03-13  02:00:00,5577.75,5605.50,5559.25,5604.50,82225,0.992157,0.266667,0.647059,0.336356,1.867286,-0.003201,0.005066,0.000714,-0.003290,0.008140,-0.012423,0.009774,0.511022,2199,0.026744,1846,0.000000,-6.229462
2025-03-13  06:00:00,5604.50,5609.75,5575.25,5598.00,166616,0.678431,0.258824,0.572549,-0.060487,2.499557,-0.000803,0.003990,0.000402,-0.004446,0.006970,-0.013568,0.008603,0.511022,-2440,-0.014644,-594,-1.321777,-0.000000
2025-03-13  09:30:00,5598.00,5603.75,5516.00,5523.50,942009,0.803738,0.317757,0.738318,-0.210842,2.014863,-0.014013,-0.004775,-0.012779,-0.017695,0.001360,-0.026696,-0.004820,0.857715,-10971,-0.011646,-11565,-7.264897,-0.000000
2025-03-13  13:30:00,5523.25,5559.00,5509.25,5543.50,600618,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.014138,0.004985,0.000000,11680,0.019447,0,0.000000,0.000000
2025-03-13  18:00:00,5540.00,5568.25,5538.75,5561.50,72388,0.830508,0.245763,0.669492,-0.661108,2.737794,-0.000315,0.002795,0.000540,-0.001212,0.004107,-0.010937,0.008249,0.275701,3158,0.043626,3158,0.000000,0.000000
2025-03-13  22:00:00,5561.50,5572.75,5561.25,5562.50,21473,0.977941,0.544118,0.794118,-0.599124,2.767907,-0.001705,0.000945,-0.000584,-0.001839,0.004288,-0.010759,0.008430,0.317757,573,0.026685,3731,0.000000,0.181444
