DateTime,Open,High,Low,Close,Volume,VAHPercent,VALPercent,POCPercent,Skewness,Kurtosis,PriceToVAHPercent,PriceToVALPercent,PriceToPOCPercent,PriceToHODPercent,PriceToLODPercent,PriceToPrevHODPercent,PriceToPrevLODPercent,DayRangePercent,BarDelta,DeltaToVolumePercent,CumDelta,CumDeltaToHODPercent,CumDeltaToLODPercent
2025-02-27  19:00:00,5887.50,5889.75,5874.75,5875.00,12646,0.716667,0.016667,0.250000,0.196216,1.691358,-0.001784,0.000000,-0.000595,-0.002504,0.000043,0.000000,0.000000,0.000000,-710,-0.056144,-710,0.000000,0.000000
2025-02-27  20:00:00,5875.25,5886.25,5859.75,5877.50,22104,0.883333,0.491667,0.658333,-0.724500,2.987388,-0.001487,0.000511,-0.000340,-0.002080,0.003029,0.000000,0.000000,0.000000,-504,-0.022801,-1214,0.000000,0.000000
2025-02-27  21:00:00,5877.50,5882.25,5866.75,5870.25,15697,0.800000,0.400000,0.658333,-0.426044,2.790970,-0.002294,-0.000255,-0.001573,-0.003311,0.001792,0.000000,0.000000,0.000000,-475,-0.030261,-1689,0.000000,0.000000
2025-02-27  22:00:00,5870.25,5873.00,5858.50,5866.50,18901,0.808000,0.272000,0.672000,-0.025927,1.903626,-0.002932,-0.000085,-0.002211,-0.003948,0.001366,0.000000,0.000000,0.000000,-509,-0.026930,-2198,0.000000,0.000000
2025-02-27  23:00:00,5866.50,5883.00,5863.25,5879.25,12994,0.800000,0.288000,0.640000,-0.086241,1.935476,-0.000722,0.002003,0.000128,-0.001783,0.003542,0.000000,0.000000,0.000000,-514,-0.039557,-2712,0.000000,0.000000
2025-02-28  00:00:00,5879.00,5884.00,5876.50,5880.00,8250,0.808000,0.312000,0.712000,-0.249770,1.955697,-0.000637,0.002002,-0.000128,-0.001655,0.003670,0.000000,0.000000,0.000000,-224,-0.027152,-2936,0.000000,0.000000
2025-02-28  01:00:00,5879.75,5885.50,5874.50,5875.50,10654,0.848000,0.368000,0.712000,-0.398941,2.064496,-0.001614,0.000937,-0.000893,-0.002419,0.002902,0.000000,0.000000,0.000000,-604,-0.056692,-3540,0.000000,0.000000
2025-02-28  02:00:00,5875.50,5886.25,5869.50,5884.25,16682,0.832000,0.400000,0.736000,-0.474318,2.278257,-0.000042,0.002257,0.000468,-0.000934,0.004395,0.000000,0.000000,0.000000,108,0.006474,-3432,0.000000,0.000000
2025-02-28  03:00:00,5884.25,5894.25,5881.75,5892.25,26403,0.825175,0.321678,0.643357,-0.217847,2.363298,0.000722,0.003790,0.001828,-0.000339,0.005761,0.000000,0.000000,0.000000,821,0.031095,-2611,0.000000,0.000000
2025-02-28  04:00:00,5892.50,5897.00,5888.25,5892.75,15634,0.766234,0.214286,0.597403,-0.156645,2.252937,0.000807,0.004432,0.001913,-0.000721,0.005846,0.000000,0.000000,0.000000,-658,-0.042088,-3269,0.000000,0.000000
2025-02-28  05:00:00,5892.75,5899.00,5891.00,5895.00,13112,0.728395,0.148148,0.567901,-0.152006,2.168627,0.001189,0.005201,0.002295,-0.000678,0.006230,0.000000,0.000000,0.000000,-1014,-0.077334,-4283,0.000000,0.000000
2025-02-28  06:00:00,5895.00,5900.50,5894.00,5896.75,10607,0.720238,0.095238,0.547619,-0.153485,2.106838,0.001359,0.005842,0.002593,-0.000636,0.006529,0.000000,0.000000,0.000000,-533,-0.050250,-4816,0.000000,0.000000
2025-02-28  07:00:00,5896.75,5897.00,5883.75,5890.75,35681,0.940476,0.476190,0.803571,-0.423152,2.285935,-0.001229,0.002084,-0.000255,-0.001652,0.005505,0.000000,0.000000,0.000000,-2381,-0.066730,-7197,0.000000,0.000000
2025-02-28  08:00:00,5890.50,5899.50,5881.25,5886.75,59179,0.940476,0.523810,0.797619,-0.688676,2.617892,-0.001907,0.001063,-0.000891,-0.002330,0.004822,0.000000,0.000000,0.000000,-1011,-0.017084,-8208,0.000000,0.000000
2025-02-28  09:00:00,5887.00,5891.75,5878.00,5880.00,33202,0.910714,0.523810,0.702381,-0.740355,2.883151,-0.002841,-0.000085,-0.001359,-0.003474,0.003670,0.000000,0.000000,0.000000,-2594,-0.078128,-10802,0.000000,0.000000
2025-02-28  09:30:00,5879.75,5907.50,5857.00,5907.25,494192,0.712871,0.351485,0.653465,-0.135395,2.810500,0.002418,0.005532,0.002929,-0.000042,0.008579,0.000000,0.000000,0.000000,6658,0.013472,-4144,0.000000,0.000000
