DateTime,Open,High,Low,Close,Volume,VAHPercent,VALPercent,POCPercent,Skewness,Kurtosis,PriceToVAHPercent,PriceToVALPercent,PriceToPOCPercent,PriceToHODPercent,PriceToLODPercent,PriceToPrevHODPercent,PriceToPrevLODPercent,DayRangePercent,BarDelta,DeltaToVolumePercent,CumDelta,CumDeltaToHODPercent,CumDeltaToLODPercent
2025-03-17  18:30:00,20057.25,20066.50,20052.00,20058.25,1633,0.810345,0.431034,0.551724,-0.521592,2.864427,-0.000274,0.000000,-0.000087,-0.000411,0.000312,0.000000,0.000000,0.000000,-101,-0.061849,-101,0.000000,0.000000
2025-03-17  19:00:00,20058.25,20061.00,20025.00,20034.50,2390,1.000000,0.283133,0.843373,-0.228026,1.501545,-0.001595,-0.000112,-0.001271,-0.001595,0.000474,0.000000,0.000000,0.000000,-108,-0.045188,-209,0.000000,0.000000
2025-03-17  19:30:00,20034.50,20043.25,20027.75,20029.00,998,0.746988,0.024096,0.234940,0.171184,1.451630,-0.001346,0.000150,-0.000287,-0.001869,0.000200,0.000000,0.000000,0.000000,-12,-0.012024,-221,0.000000,0.000000
2025-03-17  20:00:00,20028.50,20036.50,19990.75,20003.00,2943,0.729373,0.089109,0.580858,-0.103302,2.064581,-0.002145,0.000275,-0.001585,-0.003164,0.000613,0.000000,0.000000,0.000000,-125,-0.042474,-346,0.000000,0.000000
2025-03-17  20:30:00,20003.75,20012.75,19995.75,20003.75,1352,0.676568,0.112211,0.580858,0.121079,1.825415,-0.001908,0.000225,-0.001547,-0.003127,0.000650,0.000000,0.000000,0.000000,94,0.069527,-252,0.000000,0.000000
2025-03-17  21:00:00,20004.25,20016.50,19987.25,19999.00,2339,0.599369,0.006309,0.160883,0.383810,1.906719,-0.001784,0.000563,-0.000050,-0.003364,0.000588,0.000000,0.000000,0.000000,-63,-0.026935,-315,0.000000,0.000000
2025-03-17  21:30:00,19998.50,19998.50,19953.25,19959.50,2279,0.823400,0.284768,0.412804,-0.058916,2.274485,-0.004340,-0.001301,-0.002025,-0.005332,0.000313,0.000000,0.000000,0.000000,-355,-0.155770,-670,0.000000,0.000000
2025-03-17  22:00:00,19959.00,19973.25,19956.00,19966.25,1392,0.927152,0.284768,0.412804,0.016437,2.051364,-0.004587,-0.000963,-0.001687,-0.004996,0.000652,0.000000,0.000000,0.000000,96,0.068966,-574,0.000000,0.000000
2025-03-17  22:30:00,19964.75,19977.50,19963.50,19970.50,792,0.947020,0.284768,0.412804,0.100073,1.977447,-0.004486,-0.000751,-0.001475,-0.004784,0.000865,0.000000,0.000000,0.000000,28,0.035354,-546,0.000000,0.000000
2025-03-17  23:00:00,19970.25,19975.00,19942.50,19951.50,1245,0.995968,0.338710,0.463710,0.099200,1.956462,-0.005706,-0.001651,-0.002425,-0.005731,0.000451,0.000000,0.000000,0.000000,-149,-0.119679,-695,0.000000,0.000000
2025-03-17  23:30:00,19952.00,19955.50,19934.00,19941.00,1170,0.996226,0.309434,0.498113,0.069870,1.961195,-0.006229,-0.001702,-0.002950,-0.006254,0.000351,0.000000,0.000000,0.000000,-72,-0.061538,-767,0.000000,0.000000
2025-03-18  00:00:00,19940.25,19956.25,19939.25,19945.75,716,0.996226,0.292453,0.498113,0.106143,1.917401,-0.005993,-0.001352,-0.002713,-0.006017,0.000589,0.000000,0.000000,0.000000,54,0.075419,-713,0.000000,0.000000
2025-03-18  00:30:00,19946.50,19947.75,19920.75,19928.50,1405,0.996569,0.336192,0.543739,0.043618,1.965369,-0.006852,-0.002066,-0.003575,-0.006877,0.000389,0.000000,0.000000,0.000000,-135,-0.096085,-848,0.000000,0.000000
2025-03-18  01:00:00,19929.00,19944.00,19928.50,19933.75,652,0.996569,0.325901,0.543739,0.079690,1.921273,-0.006591,-0.001728,-0.003312,-0.006616,0.000653,0.000000,0.000000,0.000000,24,0.036810,-824,0.000000,0.000000
