DateTime,Open,High,Low,Close,Volume,VAHPercent,VALPercent,POCPercent,Skewness,Kurtosis,PriceToVAHPercent,PriceToVALPercent,PriceToPOCPercent,PriceToHODPercent,PriceToLODPercent,PriceToPrevHODPercent,PriceToPrevLODPercent,DayRangePercent,BarDelta,DeltaToVolumePercent,CumDelta,CumDeltaToHODPercent,CumDeltaToLODPercent
2025-03-02  18:30:00,5978.25,5980.25,5970.50,5974.25,7885,0.692308,0.102564,0.230769,0.104254,1.791515,-0.000502,0.000461,0.000251,-0.001003,0.000628,0.000000,0.000000,0.000000,-739,-0.093722,-739,0.000000,0.000000
2025-03-02  19:00:00,5974.50,5975.75,5953.50,5956.00,14276,0.710280,0.009346,0.205607,0.018100,1.588861,-0.002763,0.000378,-0.000503,-0.004055,0.000420,0.000000,0.000000,0.000000,-1066,-0.074671,-1805,0.000000,0.000000
2025-03-02  19:30:00,5956.25,5960.25,5947.00,5955.25,9643,0.661654,0.090226,0.360902,0.369227,1.856325,-0.002304,0.000882,-0.000629,-0.004180,0.001387,0.000000,0.000000,0.000000,-683,-0.070829,-2488,0.000000,0.000000
2025-03-02  20:00:00,5955.25,5962.75,5951.50,5960.25,8248,0.571429,0.090226,0.360902,0.670206,2.278343,-0.000964,0.001723,0.000210,-0.003344,0.002228,0.000000,0.000000,0.000000,20,0.002425,-2468,0.000000,0.000000
2025-03-02  20:30:00,5960.00,5966.75,5954.50,5965.25,6145,0.556391,0.165414,0.360902,0.756557,2.570106,-0.000042,0.002142,0.001049,-0.002508,0.003069,0.000000,0.000000,0.000000,151,0.024573,-2317,0.000000,0.000000
2025-03-02  21:00:00,5965.25,5969.00,5961.75,5962.75,4662,0.571429,0.165414,0.360902,0.629333,2.542009,-0.000545,0.001722,0.000629,-0.002926,0.002648,0.000000,0.000000,0.000000,-46,-0.009867,-2363,0.000000,0.000000
2025-03-02  21:30:00,5962.50,5968.25,5959.75,5964.25,4088,0.563910,0.165414,0.360902,0.578401,2.626361,-0.000251,0.001974,0.000881,-0.002675,0.002901,0.000000,0.000000,0.000000,372,0.090998,-1991,0.000000,0.000000
2025-03-02  22:00:00,5964.25,5965.00,5957.50,5960.25,4518,0.563910,0.187970,0.360902,0.645265,2.842763,-0.000922,0.001176,0.000210,-0.003344,0.002228,0.000000,0.000000,0.000000,26,0.005755,-1965,0.000000,0.000000
2025-03-02  22:30:00,5960.25,5965.50,5958.50,5965.00,3219,0.578947,0.233083,0.360902,0.669143,2.980217,-0.000210,0.001721,0.001007,-0.002550,0.003027,0.000000,0.000000,0.000000,57,0.017707,-1908,0.000000,0.000000
2025-03-02  23:00:00,5964.75,5971.00,5964.25,5970.25,2673,0.593985,0.233083,0.360902,0.575484,2.846682,0.000587,0.002603,0.001888,-0.001672,0.003910,0.000000,0.000000,0.000000,337,0.126076,-1571,0.000000,0.000000
2025-03-02  23:30:00,5970.25,5972.50,5968.75,5972.00,1981,0.601504,0.233083,0.360902,0.494589,2.681559,0.000838,0.002897,0.002182,-0.001380,0.004204,0.000000,0.000000,0.000000,151,0.076224,-1420,0.000000,0.000000
