DateTime,Open,High,Low,Close,Delta,CumDelta
2025-03-03  12:00:00,5953.50,5964.75,5950.00,5960.75,706,18771
2025-03-03  12:30:00,5961.00,5965.50,5937.25,5943.25,-1290,17481
2025-03-03  13:00:00,5943.25,5944.75,5901.50,5904.25,-13076,4405
2025-03-03  13:30:00,5904.25,5924.25,5897.75,5914.75,1338,5743
2025-03-03  14:00:00,5914.50,5925.50,5905.25,5908.25,948,6691
2025-03-03  14:30:00,5908.00,5929.50,5882.50,5883.50,-1369,5322
2025-03-03  15:00:00,5883.75,5884.25,5831.00,5834.75,-516,4806
2025-03-03  15:30:00,5834.50,5864.25,5821.75,5862.75,8420,13226
2025-03-03  16:00:00,5863.00,5872.00,5861.00,5870.00,2226,15452
2025-03-03  18:00:00,5874.00,5880.75,5867.50,5878.25,-6,15446
2025-03-03  18:30:00,5878.50,5881.00,5868.00,5870.25,-418,15028
2025-03-03  19:00:00,5870.25,5877.00,5866.00,5873.75,126,15154
2025-03-03  19:30:00,5873.75,5879.50,5861.50,5877.00,-91,15063
2025-03-03  20:00:00,5877.25,5881.50,5866.00,5867.50,71,15134
2025-03-03  20:30:00,5867.75,5870.00,5859.50,5861.25,-524,14610
2025-03-03  21:00:00,5861.75,5869.75,5859.75,5869.00,58,14668
2025-03-03  21:30:00,5868.75,5873.75,5867.75,5871.00,-50,14618
2025-03-03  22:00:00,5871.00,5877.75,5867.00,5875.25,-8,14610
2025-03-03  22:30:00,5875.00,5875.75,5869.75,5874.00,-27,14583
2025-03-03  23:00:00,5873.75,5878.00,5870.25,5876.75,203,14786
2025-03-03  23:30:00,5877.00,5877.75,5868.50,5870.00,-96,14690
2025-03-04  00:00:00,5870.25,5884.00,5859.25,5879.50,342,15032
2025-03-04  00:30:00,5879.75,5880.25,5875.75,5877.75,107,15139
2025-03-04  01:00:00,5877.75,5881.50,5869.00,5879.00,80,15219
2025-03-04  01:30:00,5879.00,5881.50,5870.75,5878.25,71,15290
2025-03-04  02:00:00,5878.25,5879.25,5861.75,5865.75,-72,15218
2025-03-04  02:30:00,5865.75,5868.50,5860.00,5863.25,-51,15167
2025-03-04  03:00:00,5863.00,5871.00,5856.50,5869.50,-367,14800
2025-03-04  03:30:00,5869.50,5878.50,5862.25,5867.75,394,15194
2025-03-04  04:00:00,5867.75,5877.00,5864.75,5869.50,-32,15162
2025-03-04  04:30:00,5869.25,5871.50,5859.50,5863.25,-101,15061
2025-03-04  05:00:00,5863.00,5866.00,5850.25,5852.75,-1019,14042
2025-03-04  05:30:00,5852.50,5858.00,5848.75,5855.75,251,14293
2025-03-04  06:00:00,5855.75,5860.75,5852.00,5858.75,150,14443
2025-03-04  06:30:00,5858.75,5861.00,5849.00,5856.00,-92,14351
2025-03-04  07:00:00,5855.75,5855.75,5821.00,5822.00,-2889,11462
2025-03-04  07:30:00,5822.00,5835.75,5822.00,5823.75,-426,11036
2025-03-04  08:00:00,5824.00,5826.50,5812.00,5814.25,-1172,9864
2025-03-04  08:30:00,5814.25,5828.50,5813.50,5820.75,644,10508
2025-03-04  09:00:00,5820.50,5835.75,5817.75,5819.00,-1804,8704
2025-03-04  09:30:00,5819.00,5824.25,5778.00,5779.00,-6181,2523
2025-03-04  10:00:00,5779.00,5783.75,5744.00,5767.00,4762,7285
2025-03-04  10:30:00,5766.75,5782.75,5755.50,5762.50,4651,11936
2025-03-04  11:00:00,5762.75,5773.00,5744.75,5751.50,1068,13004
2025-03-04  11:30:00,5751.50,5787.50,5751.00,5781.50,5898,18902
2025-03-04  12:00:00,5781.25,5807.25,5774.75,5800.25,3260,22162
2025-03-04  12:30:00,5800.00,5803.50,5781.00,5786.75,-2174,19988
2025-03-04  13:00:00,5786.75,5822.50,5782.25,5797.00,2255,22243
2025-03-04  13:30:00,5797.00,5830.25,5791.25,5824.50,3525,25768
2025-03-04  14:00:00,5824.25,5851.00,5823.50,5836.00,706,26474
2025-03-04  14:30:00,5836.00,5853.25,5830.00,5850.50,1247,27721
