DateTime,Open,High,Low,Close,Volume,VAHPercent,VALPercent,POCPercent,Skewness,Kurtosis,PriceToVAHPercent,PriceToVALPercent,PriceToPOCPercent,PriceToHODPercent,PriceToLODPercent,PriceToPrevHODPercent,PriceToPrevLODPercent,DayRangePercent,BarDelta,DeltaToVolumePercent,CumDelta,CumDeltaToHODPercent,CumDeltaToLODPercent
2025-02-27  18:15:00,5884.50,5886.50,5883.00,5885.25,2354,0.785714,0.428571,0.642857,-0.566236,2.586858,-0.000085,0.000127,0.000000,-0.000212,0.000382,0.000000,0.000000,0.000000,-126,-0.053526,-126,0.000000,0.000000
2025-02-27  18:30:00,5885.25,5889.25,5884.50,5885.00,3613,0.800000,0.240000,0.400000,0.026375,1.939327,-0.000510,0.000085,-0.000085,-0.000722,0.000340,0.000000,0.000000,0.000000,113,0.031276,-13,0.000000,0.000000
2025-02-27  18:45:00,5884.75,5888.00,5883.00,5887.50,6316,0.680000,0.240000,0.480000,0.206110,2.564743,0.000042,0.000510,0.000255,-0.000297,0.000765,0.000000,0.000000,0.000000,44,0.006966,31,0.000000,-1.246032
2025-02-27  19:00:00,5887.50,5889.75,5886.25,5886.25,2855,0.851852,0.370370,0.444444,0.011229,2.127193,-0.000425,0.000127,0.000042,-0.000594,0.000552,0.000000,0.000000,0.000000,-1,-0.000350,30,-0.032258,-1.238095
2025-02-27  19:15:00,5886.50,5887.00,5880.50,5881.75,2729,0.837838,0.459459,0.594595,-0.410314,3.031810,-0.001104,-0.000510,-0.000722,-0.001358,0.000213,0.000000,0.000000,0.000000,-305,-0.111763,-275,-9.870968,-0.000000
2025-02-27  19:30:00,5881.75,5884.00,5877.50,5878.50,3685,0.938776,0.571429,0.693878,-0.851597,3.229673,-0.001783,-0.001020,-0.001274,-0.001910,0.000170,0.000000,0.000000,0.000000,-99,-0.026866,-374,-13.064516,-0.000000
2025-02-27  19:45:00,5878.50,5879.50,5874.75,5875.00,3377,0.966667,0.566667,0.750000,-0.743647,2.432657,-0.002420,-0.001402,-0.001869,-0.002504,0.000043,0.000000,0.000000,0.000000,-305,-0.090317,-679,-22.903226,-0.000000
2025-02-27  20:00:00,5875.25,5883.50,5874.25,5882.75,4069,0.967742,0.467742,0.758065,-0.465091,2.010032,-0.001104,0.000213,-0.000552,-0.001189,0.001447,0.000000,0.000000,0.000000,57,0.014008,-622,-21.064516,-0.083947
2025-02-27  20:15:00,5882.75,5886.25,5878.75,5878.75,2812,0.967742,0.483871,0.758065,-0.448390,2.105668,-0.001783,-0.000510,-0.001232,-0.001868,0.000766,0.000000,0.000000,0.000000,-24,-0.008535,-646,-21.838710,-0.048601
2025-02-27  20:30:00,5878.50,5882.25,5859.75,5881.75,10992,0.975000,0.616667,0.875000,-0.961606,3.073220,-0.001231,0.000595,-0.000722,-0.001358,0.003754,0.000000,0.000000,0.000000,14,0.001274,-632,-21.387097,-0.069219
2025-02-27  20:45:00,5881.50,5882.50,5876.75,5877.50,4231,0.975000,0.625000,0.875000,-1.003721,3.358669,-0.001953,-0.000170,-0.001444,-0.002080,0.003029,0.000000,0.000000,0.000000,-551,-0.130229,-1183,-39.161290,-0.000000
2025-02-27  21:00:00,5877.50,5882.25,5874.75,5879.00,3568,0.975000,0.625000,0.875000,-0.988533,3.497918,-0.001698,0.000085,-0.001189,-0.001825,0.003285,0.000000,0.000000,0.000000,72,0.020179,-1111,-36.838710,-0.060862
2025-02-27  21:15:00,5878.75,5880.50,5874.00,5880.25,2776,0.975000,0.608333,0.875000,-0.933275,3.511625,-0.001486,0.000383,-0.000977,-0.001613,0.003498,0.000000,0.000000,0.000000,-40,-0.014409,-1151,-38.129032,-0.027050
2025-02-27  21:30:00,5880.25,5882.00,5868.00,5869.75,4829,0.975000,0.600000,0.875000,-0.796554,3.250844,-0.003269,-0.001361,-0.002761,-0.003396,0.001707,0.000000,0.000000,0.000000,-517,-0.107062,-1668,-54.806452,-0.000000
2025-02-27  21:45:00,5869.50,5873.50,5866.75,5870.25,4524,0.975000,0.566667,0.875000,-0.574727,2.651540,-0.003184,-0.001106,-0.002676,-0.003311,0.001792,0.000000,0.000000,0.000000,10,0.002210,-1658,-54.483871,-0.005995
2025-02-27  22:00:00,5870.25,5873.00,5865.50,5868.25,3434,0.975000,0.533333,0.875000,-0.443954,2.353081,-0.003524,-0.001276,-0.003016,-0.003650,0.001451,0.000000,0.000000,0.000000,-220,-0.064065,-1878,-61.580645,-0.000000
2025-02-27  22:15:00,5868.25,5869.00,5861.50,5867.25,5206,0.983333,0.466667,0.875000,-0.357913,2.071990,-0.003736,-0.001107,-0.003186,-0.003820,0.001280,0.000000,0.000000,0.000000,-122,-0.023434,-2000,-65.516129,-0.000000
2025-02-27  22:30:00,5867.25,5869.00,5860.00,5865.50,5851,0.983333,0.391667,0.875000,-0.261328,1.871654,-0.004033,-0.001022,-0.003483,-0.004117,0.000981,0.000000,0.000000,0.000000,75,0.012818,-1925,-63.096774,-0.037500
2025-02-27  22:45:00,5865.25,5868.75,5858.50,5866.50,4410,0.984000,0.384000,0.880000,-0.194236,1.794756,-0.003863,-0.000681,-0.003313,-0.003948,0.001366,0.000000,0.000000,0.000000,-242,-0.054875,-2167,-70.903226,-0.000000
2025-02-27  23:00:00,5866.50,5869.75,5863.25,5867.50,2924,0.984000,0.360000,0.880000,-0.120608,1.738424,-0.003693,-0.000383,-0.003143,-0.003778,0.001536,0.000000,0.000000,0.000000,-86,-0.029412,-2253,-73.677419,-0.000000
2025-02-27  23:15:00,5867.25,5877.50,5867.25,5877.25,3095,0.984000,0.368000,0.880000,-0.091788,1.770703,-0.002038,0.001235,-0.001487,-0.002122,0.003200,0.000000,0.000000,0.000000,263,0.084976,-1990,-65.193548,-0.116733
2025-02-27  23:30:00,5877.50,5879.75,5875.75,5879.25,2652,0.984000,0.376000,0.880000,-0.119677,1.816363,-0.001698,0.001533,-0.001147,-0.001783,0.003542,0.000000,0.000000,0.000000,-114,-0.042986,-2104,-68.870968,-0.066134
2025-02-27  23:45:00,5879.25,5883.00,5877.25,5879.25,4323,0.984000,0.384000,0.880000,-0.192326,1.858301,-0.001698,0.001491,-0.001147,-0.001783,0.003542,0.000000,0.000000,0.000000,-577,-0.133472,-2681,-87.483871,-0.000000
2025-02-28  00:00:00,5879.00,5884.00,5878.25,5881.25,3234,0.984000,0.400000,0.880000,-0.249282,1.882845,-0.001358,0.001746,-0.000807,-0.001443,0.003883,0.000000,0.000000,0.000000,0,0.000000,-2681,-87.483871,-0.000000
2025-02-28  00:15:00,5881.50,5881.75,5878.00,5879.00,1834,0.984000,0.400000,0.720000,-0.276622,1.908173,-0.001740,0.001363,-0.000340,-0.001825,0.003499,0.000000,0.000000,0.000000,-200,-0.109051,-2881,-93.935484,-0.000000
2025-02-28  00:30:00,5879.00,5882.75,5876.50,5882.25,1797,0.984000,0.408000,0.640000,-0.296484,1.939139,-0.001189,0.001874,0.000638,-0.001273,0.004054,0.000000,0.000000,0.000000,-45,-0.025042,-2926,-95.387097,-0.000000
2025-02-28  00:45:00,5882.25,5883.00,5879.50,5880.00,1385,0.984000,0.416000,0.712000,-0.318368,1.956027,-0.001571,0.001448,-0.000128,-0.001655,0.003670,0.000000,0.000000,0.000000,21,0.015162,-2905,-94.709677,-0.007177
2025-02-28  01:00:00,5879.75,5881.50,5877.75,5881.25,1709,0.984000,0.416000,0.712000,-0.340636,1.984559,-0.001358,0.001661,0.000085,-0.001443,0.003883,0.000000,0.000000,0.000000,-49,-0.028672,-2954,-96.290323,-0.000000
2025-02-28  01:15:00,5881.00,5885.50,5881.00,5883.25,2464,0.984000,0.432000,0.712000,-0.378596,1.997077,-0.001019,0.001916,0.000425,-0.001104,0.004225,0.000000,0.000000,0.000000,76,0.030844,-2878,-93.838710,-0.025728
2025-02-28  01:30:00,5883.50,5885.00,5878.00,5879.75,3302,0.984000,0.448000,0.712000,-0.422711,2.047251,-0.001613,0.001235,-0.000170,-0.001698,0.003627,0.000000,0.000000,0.000000,-384,-0.116293,-3262,-106.225806,-0.000000
2025-02-28  01:45:00,5879.75,5882.00,5874.50,5875.50,3179,0.984000,0.456000,0.712000,-0.437963,2.102409,-0.002335,0.000468,-0.000893,-0.002419,0.002902,0.000000,0.000000,0.000000,-247,-0.077697,-3509,-114.193548,-0.000000
2025-02-28  02:00:00,5875.50,5881.00,5872.75,5874.25,3966,0.976000,0.472000,0.712000,-0.444605,2.168005,-0.002505,0.000170,-0.001105,-0.002632,0.002688,0.000000,0.000000,0.000000,-122,-0.030761,-3631,-118.129032,-0.000000
2025-02-28  02:15:00,5874.50,5879.00,5872.25,5874.25,3816,0.976000,0.488000,0.712000,-0.437585,2.221929,-0.002505,0.000085,-0.001105,-0.002632,0.002688,0.000000,0.000000,0.000000,-16,-0.004193,-3647,-118.645161,-0.000000
